SalePrice,PID,Lot Frontage,Lot Area,Street,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Heating,Central Air,Electrical,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Gr Liv Area,Functional,Screen Porch,Pool Area,Yr Sold,Sale Type
127500,903233180,52,6240,Pave,BrkSide,1Fam,1.5Fin,6,6,1931,Gable,GasA,Y,FuseA,1,0,3,6,1367,Typ,120,0,2007,WD
230000,907254020,73,9066,Pave,CollgCr,1Fam,2Story,8,5,1999,Gable,GasA,Y,SBrkr,2,1,3,7,1852,Typ,0,0,2008,WD
332200,528186100,61,7740,Pave,NridgHt,TwnhsE,1Story,9,5,2006,Hip,GasA,Y,SBrkr,2,0,1,6,1686,Typ,0,0,2006,New
90000,902302150,85,13600,Pave,OldTown,2fmCon,2Story,5,5,1900,Gable,GasA,N,SBrkr,2,0,5,10,2337,Min2,0,0,2007,WD
755000,528351010,104,21535,Pave,NoRidge,1Fam,2Story,10,6,1994,Gable,GasA,Y,SBrkr,3,1,4,10,4316,Typ,0,0,2007,WD
155835,906380140,85,11103,Pave,CollgCr,1Fam,2Story,7,5,2006,Gable,GasA,Y,SBrkr,2,1,3,8,1456,Typ,0,0,2007,New
279000,528172150,NA,13215,Pave,NridgHt,1Fam,2Story,8,5,2004,Gable,GasA,Y,SBrkr,2,1,3,9,1914,Typ,0,0,2006,WD
128000,903226130,50,6000,Pave,BrkSide,1Fam,1.5Fin,4,6,1936,Gable,GasA,Y,SBrkr,1,0,3,6,1324,Typ,0,0,2009,WD
193500,535126010,100,13000,Pave,"NAmes",1Fam,2Story,6,6,1968,Gable,GasA,Y,SBrkr,2,1,4,8,2142,Typ,252,0,2009,WD
140000,534427090,75,10382,Pave,"NAmes",2fmCon,SLvl,6,5,1958,Hip,GasA,Y,SBrkr,1,0,2,6,1095,Typ,0,0,2006,ConLD
187000,528290170,58,9487,Pave,Gilbert,1Fam,2Story,6,5,2000,Gable,GasA,Y,SBrkr,2,1,3,7,1690,Typ,0,0,2007,WD
195500,527106140,59,9535,Pave,Gilbert,1Fam,2Story,6,5,1998,Gable,GasA,Y,SBrkr,2,1,3,7,1604,Typ,0,0,2008,WD
119000,535101110,NA,8917,Pave,"NAmes",Duplex,1Story,5,5,1967,Gable,GasA,Y,SBrkr,2,0,4,8,1584,Typ,0,0,2006,WD
76000,923226250,21,1476,Pave,MeadowV,Twnhs,2Story,4,7,1970,Gable,GasA,Y,SBrkr,1,1,3,5,1092,Typ,0,0,2010,WD
82500,905377130,NA,12342,Pave,Edwards,1Fam,1Story,4,5,1940,Gable,GasA,Y,SBrkr,1,0,1,4,861,Typ,0,0,2009,WD
190000,905401100,NA,10708,Pave,ClearCr,1Fam,1Story,5,5,1955,Hip,GasA,Y,FuseA,1,0,2,7,1867,Typ,142,0,2009,COD
230000,907265030,NA,8125,Pave,CollgCr,1Fam,1Story,7,5,2002,Gable,GasA,Y,SBrkr,2,0,3,6,1654,Typ,0,0,2006,WD
91900,908225170,56,6931,Pave,Edwards,2fmCon,1Story,4,5,1955,Hip,GasA,N,FuseP,1,0,2,4,784,Typ,0,0,2008,WD
173000,534251280,NA,9130,Pave,NWAmes,1Fam,2Story,6,8,1966,Hip,GasA,Y,SBrkr,1,1,4,7,1632,Typ,0,0,2008,WD
257000,531382070,88,10994,Pave,SawyerW,1Fam,1Story,8,5,2005,Gable,GasA,Y,SBrkr,2,0,2,7,1844,Typ,0,0,2009,COD
127000,923225240,41,2665,Pave,MeadowV,TwnhsE,2Story,5,6,1977,Gable,GasA,Y,SBrkr,2,0,4,6,1475,Typ,0,0,2006,WD
269500,906230030,NA,7976,Pave,SawyerW,Duplex,2Story,7,5,2000,Hip,GasA,Y,SBrkr,4,2,6,8,2787,Typ,0,0,2009,WD
260000,527258020,124,16158,Pave,StoneBr,1Fam,1Story,7,5,2005,Hip,GasA,Y,SBrkr,2,0,3,7,1530,Typ,0,0,2009,WD
158450,905100080,75,11235,Pave,Sawyer,1Fam,SFoyer,5,5,1964,Gable,GasA,Y,SBrkr,1,0,2,6,1452,Min2,0,0,2007,WD
274970,905426150,NA,19690,Pave,Edwards,1Fam,SLvl,6,7,1966,Flat,GasA,Y,SBrkr,2,0,4,8,2201,Typ,0,738,2006,WD
146000,533212150,34,3604,Pave,Somerst,TwnhsE,2Story,7,5,2007,Gable,GasA,Y,SBrkr,2,0,2,5,1392,Typ,0,0,2008,WD
145000,527250040,100,34650,Pave,Gilbert,2fmCon,1Story,5,5,1955,Hip,GasA,N,SBrkr,1,0,3,5,1056,Typ,0,0,2006,WD
55000,910202050,40,3636,Pave,IDOTRR,1Fam,1Story,4,4,1922,Gable,GasA,N,SBrkr,1,0,2,5,796,Typ,0,0,2008,WD
131000,923276100,NA,8885,Pave,Mitchel,1Fam,1Story,5,5,1983,Gable,GasA,Y,SBrkr,1,0,2,5,902,Typ,0,0,2006,WD
382500,528178010,117,15262,Pave,NridgHt,1Fam,1Story,8,5,2003,Hip,GasA,Y,SBrkr,2,1,3,8,2200,Typ,0,0,2009,WD
235000,527325160,NA,16659,Pave,NWAmes,1Fam,2Story,7,7,1977,Gable,GasA,Y,SBrkr,2,1,3,9,2263,Typ,0,0,2006,WD
378000,528150090,131,14828,Pave,NridgHt,1Fam,1Story,9,5,2004,Hip,GasA,Y,SBrkr,2,0,2,7,1780,Typ,0,0,2006,WD
132500,903227090,50,6000,Pave,BrkSide,1Fam,1.5Fin,6,6,1939,Gable,GasA,Y,FuseF,1,0,4,6,1412,Typ,0,0,2009,WD
190000,534250300,NA,14803,Pave,NWAmes,1Fam,2Story,6,5,1971,Gable,GasA,Y,SBrkr,2,1,4,8,1993,Typ,0,0,2006,WD
275000,907255050,NA,14781,Pave,CollgCr,1Fam,1Story,8,5,2001,Hip,GasA,Y,SBrkr,2,0,3,7,1787,Typ,0,0,2006,WD
110500,902207010,40,3880,Pave,OldTown,1Fam,1Story,5,9,1945,Gable,GasA,Y,SBrkr,1,0,2,4,866,Typ,0,0,2007,WD
117000,903227070,50,6000,Pave,BrkSide,1Fam,1.5Fin,5,8,1925,Gable,GasA,Y,SBrkr,1,0,3,5,1348,Typ,0,0,2009,WD
127500,904351280,62,10106,Pave,Edwards,2fmCon,1.5Fin,5,7,1940,Gable,GasA,Y,SBrkr,2,0,4,6,1355,Typ,0,0,2008,WD
102000,535451100,60,7200,Pave,"NAmes",1Fam,1Story,5,3,1950,Gable,GasA,Y,FuseA,1,1,3,6,1238,Min2,0,0,2007,WD
158000,909426090,78,15600,Pave,Crawfor,1Fam,1.5Fin,5,7,1949,Gable,GasW,N,SBrkr,2,0,3,7,1523,Maj2,0,0,2009,WD
137000,534478140,95,11345,Pave,"NAmes",Duplex,2Story,5,5,1948,Gable,GasA,Y,FuseA,2,0,4,10,1920,Typ,0,0,2007,WD
142900,535381040,60,10410,Pave,OldTown,1Fam,1.5Fin,4,5,1915,Gable,GasA,Y,SBrkr,2,0,3,8,2377,Min2,0,0,2009,WD
319000,527254070,69,11302,Pave,StoneBr,1Fam,1Story,8,5,2005,Gable,GasA,Y,SBrkr,2,0,3,7,1826,Typ,120,0,2006,New
485000,528104070,104,13518,Pave,NridgHt,1Fam,2Story,9,5,2008,Hip,GasA,Y,SBrkr,3,1,4,11,3140,Typ,0,0,2009,New
185000,528488110,60,7200,Pave,Somerst,1Fam,1Story,6,5,2006,Gable,GasA,Y,SBrkr,2,0,2,5,1262,Typ,0,0,2006,New
167000,908102270,75,9937,Pave,Edwards,1Fam,1Story,5,7,1964,Hip,GasA,Y,SBrkr,1,0,3,7,1486,Typ,0,0,2009,WD
127000,909176140,50,5000,Pave,SWISU,1Fam,1.5Fin,5,6,1924,Gable,GasA,Y,SBrkr,2,0,3,6,1691,Typ,0,0,2010,WD
192500,528228435,43,3182,Pave,Blmngtn,TwnhsE,1Story,7,5,2005,Gable,GasA,Y,SBrkr,2,0,2,7,1555,Typ,0,0,2009,WD
178000,916460020,NA,7777,Pave,Timber,1Fam,1Story,6,5,1996,Gable,GasA,Y,SBrkr,2,0,3,7,1491,Typ,0,0,2007,WD
198444,528221040,63,9729,Pave,Gilbert,1Fam,2Story,6,5,2006,Gable,GasA,Y,SBrkr,2,1,3,6,1746,Typ,0,0,2007,New
89000,903235020,50,6000,Pave,BrkSide,1Fam,1Story,5,7,1921,Gable,GasA,Y,SBrkr,1,0,2,4,616,Typ,0,0,2006,WD
155000,528188090,36,2448,Pave,NridgHt,Twnhs,2Story,7,5,2003,Gable,GasA,Y,SBrkr,2,1,2,6,1626,Typ,0,0,2008,WD
234000,909257050,53,10918,Pave,Crawfor,1Fam,2Story,7,9,1926,Gambrel,GasA,Y,SBrkr,1,1,3,9,2080,Typ,145,0,2009,WD
255000,528431050,116,13501,Pave,Somerst,1Fam,1Story,8,5,2006,Gable,GasA,Y,SBrkr,2,0,3,8,1636,Typ,0,0,2007,WD
163000,905107250,86,11227,Pave,Sawyer,1Fam,2Story,5,5,1968,Gable,GasA,Y,SBrkr,1,1,4,7,1440,Typ,0,0,2010,WD
116000,903484110,60,10320,Pave,IDOTRR,2fmCon,2Story,6,7,1915,Gable,GasA,Y,FuseF,1,1,3,7,1403,Typ,0,0,2009,WD
241600,533254050,110,15417,Pave,Veenker,1Fam,1Story,7,5,1981,Gable,GasA,Y,SBrkr,1,1,2,7,1740,Typ,0,0,2009,WD
362500,533130130,85,13143,Pave,NoRidge,1Fam,2Story,8,5,1993,Gable,GasA,Y,SBrkr,2,1,4,9,2349,Typ,0,0,2010,WD
252678,528456180,72,8640,Pave,Somerst,1Fam,2Story,7,5,2009,Gable,GasA,Y,SBrkr,2,1,3,7,1852,Typ,0,0,2009,New
250000,528112150,98,11428,Pave,NridgHt,1Fam,1Story,8,5,2006,Gable,GasA,Y,SBrkr,2,0,3,7,1634,Typ,0,0,2007,WD
232000,907401090,48,10635,Pave,CollgCr,1Fam,1Story,8,5,2003,Hip,GasA,Y,SBrkr,2,0,3,8,1668,Typ,0,0,2010,WD
225000,528458020,90,7993,Pave,Somerst,1Fam,1Story,7,5,2008,Gable,GasA,Y,SBrkr,2,0,3,6,1436,Typ,0,0,2009,New
98000,908102020,67,8777,Pave,Edwards,1Fam,2Story,4,6,1910,Gable,GasA,Y,SBrkr,2,0,3,6,1436,Min1,0,0,2006,WD
201800,535103050,NA,13700,Pave,"NAmes",1Fam,2Story,7,6,1965,Gable,GasA,Y,SBrkr,1,2,4,8,1820,Typ,273,0,2008,WD
144000,907135020,75,9525,Pave,CollgCr,1Fam,1Story,5,6,1995,Gable,GasA,Y,SBrkr,1,1,3,6,1099,Typ,0,0,2008,WD
61500,902206020,52,7830,Pave,OldTown,1Fam,1Story,3,5,1921,Gable,GasA,Y,SBrkr,1,0,1,3,492,Typ,0,0,2006,WD
110000,902406020,65,9750,Pave,OldTown,1Fam,1Story,5,6,1959,Gable,GasA,Y,SBrkr,1,0,2,5,984,Typ,0,0,2008,WD
201000,531380110,70,8462,Pave,SawyerW,1Fam,2Story,6,5,1994,Gable,GasA,Y,SBrkr,2,1,3,7,1721,Typ,0,0,2007,WD
175000,905101260,70,12886,Pave,Sawyer,1Fam,SLvl,5,6,1963,Gable,GasA,Y,SBrkr,2,0,3,6,1464,Min2,100,0,2009,WD
202000,527107120,54,9783,Pave,Gilbert,1Fam,2Story,6,5,1996,Gable,GasA,Y,SBrkr,2,1,3,7,1776,Typ,0,0,2006,WD
204000,528174020,34,3901,Pave,NridgHt,Twnhs,1Story,6,5,2005,Gable,GasA,Y,SBrkr,1,1,1,5,1302,Typ,0,0,2007,New
119000,535451040,60,7200,Pave,"NAmes",1Fam,1Story,5,7,1950,Gable,GasA,Y,SBrkr,1,0,3,6,988,Typ,0,0,2007,WD
203000,907275090,73,11883,Pave,CollgCr,1Fam,1Story,7,5,1996,Hip,GasA,Y,SBrkr,2,0,3,6,1504,Typ,0,0,2009,WD
98000,908225370,50,8405,Pave,Edwards,1Fam,1.5Fin,4,3,1945,Gable,Wall,N,FuseF,2,0,4,9,1529,Mod,0,0,2009,WD
176485,528222030,73,8993,Pave,Gilbert,1Fam,1Story,7,5,2007,Gable,GasA,Y,SBrkr,2,0,3,6,1302,Typ,0,0,2007,New
298751,921126030,79,11449,Pave,Timber,1Fam,1Story,8,5,2007,Gable,GasA,Y,SBrkr,2,0,3,7,1728,Typ,0,0,2008,WD
67000,910204090,60,8967,Pave,IDOTRR,1Fam,1Story,5,2,1920,Gable,GasA,Y,Mix,1,0,2,6,1077,Maj2,0,0,2007,WD
171000,535402120,70,9247,Pave,"NAmes",1Fam,2Story,6,6,1962,Gable,GasA,Y,SBrkr,1,1,4,8,1716,Typ,120,0,2008,WD
90000,903425270,60,8550,Pave,BrkSide,1Fam,1.5Fin,5,5,1926,Gable,GasA,Y,SBrkr,1,0,4,7,1316,Typ,0,0,2007,ConLw
215000,527301170,46,20544,Pave,NWAmes,1Fam,2Story,7,6,1986,Gable,GasA,Y,SBrkr,2,1,3,7,2093,Typ,0,0,2008,WD
141000,535179050,69,14850,Pave,"NAmes",1Fam,1Story,5,5,1957,Gable,GasA,Y,FuseA,1,0,2,6,1092,Typ,122,0,2006,WD
176000,528218020,65,10237,Pave,Gilbert,1Fam,2Story,6,5,2005,Gable,GasA,Y,SBrkr,2,1,3,6,1536,Typ,0,0,2007,WD
174000,528228290,53,3684,Pave,Blmngtn,TwnhsE,1Story,7,5,2007,Hip,GasA,Y,SBrkr,2,0,2,7,1555,Typ,0,0,2009,WD
156500,902104020,60,9600,Pave,OldTown,1Fam,1.5Fin,6,8,1900,Gable,GasA,Y,SBrkr,1,0,3,7,1416,Typ,0,0,2006,WD
284000,528170070,85,10625,Pave,NridgHt,1Fam,2Story,7,5,2003,Gable,GasA,Y,SBrkr,2,1,3,8,2046,Typ,0,0,2008,WD
119000,534477080,80,9600,Pave,"NAmes",1Fam,1.5Fin,6,5,1950,Gable,GasA,Y,FuseA,1,0,3,6,1252,Typ,0,0,2008,WD
143000,923400025,85,14115,Pave,Mitchel,1Fam,1.5Fin,5,5,1993,Gable,GasA,Y,SBrkr,1,1,1,5,1362,Typ,0,0,2009,WD
231000,924152030,74,12961,Pave,Mitchel,1Fam,2Story,6,5,1993,Gable,GasA,Y,SBrkr,2,1,3,7,1797,Typ,0,0,2010,WD
235000,907196040,75,12192,Pave,CollgCr,1Fam,2Story,7,5,2000,Gable,GasA,Y,SBrkr,2,1,3,6,1823,Typ,0,0,2008,WD
155000,531375120,66,13695,Pave,SawyerW,1Fam,1Story,6,5,2003,Gable,GasA,Y,SBrkr,1,0,3,6,1114,Typ,0,0,2008,WD
163000,535153150,76,9120,Pave,"NAmes",1Fam,1Story,6,6,1958,Hip,GasA,Y,SBrkr,1,0,3,6,1261,Typ,288,0,2008,WD
159000,903225090,50,5000,Pave,BrkSide,1Fam,1.5Fin,6,7,1947,Gable,GasA,Y,SBrkr,2,0,3,7,1664,Typ,0,0,2006,WD
150750,534427140,75,7388,Pave,"NAmes",1Fam,1Story,5,6,1959,Gable,GasA,Y,SBrkr,1,0,3,7,1327,Typ,0,0,2007,WD
110000,902102080,60,10440,Pave,OldTown,1Fam,2Story,5,6,1910,Gable,GasA,Y,SBrkr,1,1,2,5,1230,Typ,0,0,2009,WD
163000,534129370,80,9600,Pave,NWAmes,1Fam,1Story,5,5,1969,Gable,GasA,Y,SBrkr,2,0,3,6,1336,Typ,0,0,2009,WD
146500,909251040,51,6821,Pave,Crawfor,1Fam,1.5Fin,6,7,1921,Gable,GasA,Y,SBrkr,2,0,2,8,1298,Typ,0,0,2007,WD
76500,534451150,55,5350,Pave,BrkSide,1Fam,1Story,3,2,1940,Gable,GasA,Y,SBrkr,1,0,3,6,1306,Mod,0,0,2010,WD
174000,907201230,42,10385,Pave,CollgCr,1Fam,SLvl,6,6,1978,Gable,GasA,Y,SBrkr,2,0,3,6,1282,Typ,0,0,2006,WD
133000,527427090,34,4058,Pave,"NAmes",TwnhsE,SFoyer,7,5,1998,Gable,GasA,Y,SBrkr,1,0,1,4,767,Typ,0,0,2007,WD
76000,531479020,60,9000,Pave,SawyerW,1Fam,1.5Unf,6,3,1928,Gable,GasA,N,FuseA,1,0,2,5,784,Typ,0,0,2009,WD
135000,535375050,60,10410,Pave,OldTown,1Fam,1.5Fin,5,7,1916,Gable,GasA,Y,SBrkr,2,1,3,8,1656,Min2,0,0,2009,WD
284000,528142130,85,10655,Pave,NridgHt,1Fam,1Story,8,5,2003,Gable,GasA,Y,SBrkr,2,0,3,7,1629,Typ,0,0,2009,WD
119000,905476120,50,8405,Pave,Edwards,1Fam,1.5Fin,5,8,1900,Gable,GasA,Y,SBrkr,1,0,4,7,1367,Typ,0,0,2008,WD
260000,533205060,25,4835,Pave,Somerst,TwnhsE,1Story,7,5,2004,Gable,GasA,Y,SBrkr,2,0,2,6,1488,Typ,0,0,2010,WD
205000,907196020,118,13704,Pave,CollgCr,1Fam,1Story,7,5,2001,Gable,GasA,Y,SBrkr,2,0,3,6,1541,Typ,0,0,2006,WD
63000,904351240,60,9780,Pave,Edwards,1Fam,1.5Fin,5,3,1934,Gable,GasA,N,FuseA,2,0,4,6,1112,Typ,0,0,2009,WD
184000,902405070,60,10800,Pave,OldTown,1Fam,2Story,7,7,1890,Gable,GasW,Y,SBrkr,2,0,5,10,2495,Typ,0,0,2008,WD
171000,914475020,76,9880,Pave,Mitchel,1Fam,SLvl,6,6,1977,Gable,GasA,Y,SBrkr,1,0,3,6,1118,Typ,0,576,2008,WD
132000,534479320,78,7800,Pave,"NAmes",1Fam,1Story,5,6,1954,Gable,GasA,Y,SBrkr,1,0,2,7,1268,Typ,0,0,2010,WD
250000,909280030,86,11500,Pave,Crawfor,1Fam,1.5Fin,7,7,1936,Gable,GasA,Y,SBrkr,1,1,3,6,2057,Typ,322,0,2006,WD
154900,909278020,54,7681,Pave,Crawfor,1Fam,1.5Fin,5,6,1921,Gable,GasA,Y,SBrkr,1,1,3,7,1343,Typ,0,0,2009,WD
320000,527108010,134,19378,Pave,Gilbert,1Fam,2Story,7,5,2005,Gable,GasA,Y,SBrkr,2,1,4,9,2462,Typ,0,0,2006,New
126500,923225510,58,10172,Pave,Mitchel,1Fam,1Story,5,7,1968,Gable,GasA,Y,SBrkr,1,0,3,5,874,Typ,0,0,2006,WD
136500,534275010,NA,10659,Pave,"NAmes",1Fam,1Story,5,6,1961,Hip,GasA,Y,SBrkr,1,0,3,6,1050,Typ,0,0,2006,COD
133500,907227030,36,15523,Pave,CollgCr,1Fam,1Story,5,6,1972,Gable,GasA,Y,SBrkr,1,0,3,5,864,Typ,0,0,2009,WD
160000,531475220,75,8250,Pave,SawyerW,Duplex,2Story,6,7,1981,Gable,GasA,Y,SBrkr,2,0,4,8,1882,Typ,0,0,2009,WD
185000,907295100,83,10126,Pave,CollgCr,Duplex,SFoyer,6,5,1997,Gable,GasA,Y,SBrkr,2,0,2,8,1838,Typ,0,0,2008,WD
239900,527108040,72,10463,Pave,Gilbert,1Fam,2Story,8,5,2005,Gable,GasA,Y,SBrkr,2,1,3,8,1801,Typ,0,0,2006,WD
235000,911370460,44,4750,Pave,Crawfor,TwnhsE,1Story,8,5,2006,Hip,GasA,Y,SBrkr,2,0,2,5,1625,Typ,153,0,2007,WD
145000,909253180,52,6292,Pave,SWISU,1Fam,1.5Fin,7,7,1928,Gable,GasA,Y,SBrkr,2,0,3,6,1477,Typ,0,0,2009,WD
154000,534402140,NA,11000,Pave,"NAmes",1Fam,1Story,5,6,1966,Gable,GasA,Y,SBrkr,1,1,3,6,1154,Typ,0,0,2009,WD
168500,527110020,NA,8530,Pave,Gilbert,1Fam,SLvl,7,5,1995,Gable,GasA,Y,SBrkr,2,1,3,7,1474,Typ,0,0,2009,WD
121000,909103020,76,11388,Pave,Edwards,1Fam,1.5Fin,4,7,1910,Gable,GasA,N,SBrkr,1,0,3,5,1273,Min2,0,0,2006,WD
176000,527162090,63,7875,Pave,Gilbert,1Fam,1Story,7,5,1995,Gable,GasA,Y,SBrkr,2,0,3,6,1253,Typ,0,0,2007,WD
174500,534429150,85,11475,Pave,"NAmes",1Fam,SLvl,6,6,1961,Hip,GasA,Y,SBrkr,1,0,4,7,1576,Typ,0,0,2009,WD
120000,535177020,70,9100,Pave,"NAmes",1Fam,1Story,5,5,1960,Hip,GasA,Y,SBrkr,1,0,3,6,1144,Typ,0,0,2007,WD
231713,916384050,67,8368,Pave,Timber,1Fam,1Story,7,5,2006,Gable,GasA,Y,SBrkr,2,0,3,7,1689,Typ,0,0,2007,New
153500,923229040,72,9129,Pave,Mitchel,1Fam,SFoyer,5,5,1977,Gable,GasA,Y,SBrkr,1,0,1,4,1008,Typ,0,0,2007,WD
37900,902205030,50,5925,Pave,OldTown,1Fam,1.5Fin,3,6,1910,Gable,Grav,N,SBrkr,1,0,2,6,968,Typ,0,0,2009,WD
156000,533223030,35,3768,Pave,Somerst,TwnhsE,2Story,7,5,1999,Hip,GasA,Y,SBrkr,2,1,3,6,1452,Typ,0,0,2009,WD
52500,903430130,153,4118,Pave,OldTown,1Fam,1Story,4,4,1941,Gable,Grav,N,FuseA,1,0,2,4,693,Typ,0,0,2006,WD
105000,903231130,51,6120,Pave,BrkSide,1Fam,1Story,5,7,1931,Gable,GasA,Y,FuseA,1,0,2,5,875,Typ,0,0,2009,WD
103000,902134120,56,10134,Pave,OldTown,1Fam,1.5Fin,5,5,1910,Gable,GasA,N,SBrkr,1,0,3,6,1447,Typ,0,0,2009,WD
105900,902207140,60,8520,Pave,OldTown,1Fam,1Story,6,8,1928,Gable,GasA,Y,SBrkr,1,0,2,5,720,Typ,0,0,2010,WD
170000,905200340,102,17920,Pave,Sawyer,1Fam,1Story,5,4,1955,Hip,GasA,Y,SBrkr,1,1,3,6,1779,Typ,312,0,2006,WD
114000,905475510,NA,11200,Pave,Edwards,1Fam,1Story,5,3,1964,Gable,GasA,Y,SBrkr,2,0,3,5,1298,Typ,0,0,2010,COD
135000,905451050,80,12048,Pave,Edwards,1Fam,1Story,5,6,1952,Gable,GasA,Y,SBrkr,1,0,3,7,1488,Typ,348,0,2006,WD
260000,527301320,94,13005,Pave,NWAmes,1Fam,2Story,7,7,1980,Gable,GasA,Y,SBrkr,2,1,4,10,2353,Typ,0,0,2009,WD
394617,528102030,96,12444,Pave,NridgHt,1Fam,1Story,8,5,2008,Hip,GasA,Y,SBrkr,2,0,2,7,1932,Typ,0,0,2008,New
144000,531477040,60,8400,Pave,SawyerW,Duplex,1Story,5,5,1977,Gable,GasA,Y,SBrkr,2,0,4,10,2020,Typ,0,0,2007,WD
132000,535354100,50,8000,Pave,"NAmes",1Fam,1Story,6,6,1948,Gable,GasA,Y,SBrkr,1,0,2,5,972,Typ,0,0,2009,WD
175000,535102010,NA,10050,Pave,"NAmes",1Fam,SFoyer,5,6,1966,Gable,GasA,Y,SBrkr,2,0,3,6,1280,Typ,0,0,2007,WD
45000,902205010,50,5925,Pave,OldTown,1Fam,1Story,2,4,1940,Gable,GasA,N,FuseA,1,0,1,4,612,Typ,0,0,2009,WD
146300,527452070,53,4043,Pave,NPkVill,TwnhsE,1Story,6,5,1975,Gable,GasA,Y,SBrkr,2,0,2,4,1069,Typ,225,0,2006,WD
